MARKETEVALUATIONPOINT_EAN;CONDUCTINGEQUIPMENT_NAME;MARKETPARTICIPANT_NAME;MARKETROLE_NAME;STREETADDRESS_POSTALCODE;STREETDETAIL_NAME;STREETDETAIL_NUMBER;TOWNDETAIL_NAME;TOWNDETAIL_SECTION;TOWNDETAIL_STATEORPROVINCE;COORDINATESYSTEM_NAME;POSITIONPOINT_YPOSITION;POSITIONPOINT_XPOSITION
871685920002931533;3011103-EL-T01;UBITRICITY – GESELLSCHAF;NVT;1445RA;LEEGHWATERPARK;1 ELP;PURMEREND;PURMEREND;NOORD-HOLLAND;EPSG:4326;52,49969;4,97218
871685920002896450;3011025-EL-T02;UBITRICITY – GESELLSCHAF;NVT;1509ZM;DE TWEE GEBROEDERS;1 ELP;ZAANSTAD;ZAANDAM;NOORD-HOLLAND;EPSG:4326;52,46869;4,82545
871685920002960267;3022401-EL-T01;PPT;NVT;1826KG;ALBATROSWEG;63 ELP;ALKMAAR;ALKMAAR;NOORD-HOLLAND;EPSG:4326;52,66389;4,77029
871685920002881340;3014515-EL-T01;UBITRICITY – GESELLSCHAF;NVT;1544VA;DR JAN MULDERSTRAAT;1 A ELP;ZAANSTAD;ZAANDIJK;NOORD-HOLLAND;EPSG:4326;52,47058;4,80358
871687110003054012;3007380-EL-T01;UBITRICITY – GESELLSCHAF;NVT;1273BD;VEENPLUIS;2 ELP;HUIZEN;HUIZEN;NOORD-HOLLAND;EPSG:4326;52,30134;5,24889
871685920002905602;9001717-EL-T01;UBITRICITY – GESELLSCHAF;NVT;1911ER;DE MELKSUIKER;2 ELP;UITGEEST;UITGEEST;NOORD-HOLLAND;EPSG:4326;52,51829;4,71013
871685920002960281;3001806-EL-T01;PPT;NVT;1822MG;IDA GERHARDTSTRAAT;50 ELP;ALKMAAR;ALKMAAR;NOORD-HOLLAND;EPSG:4326;52,64946;4,76599
871685920002926157;3018853-EL-T01;PPT;NVT;1823AR;GRAVENWEG;86 ELP;ALKMAAR;ALKMAAR;NOORD-HOLLAND;EPSG:4326;52,63408;4,75848
871685920002880671;3021506-EL-T01;PPT;NVT;1966MH;LUXEMBURGLAAN;509 ELP;HEEMSKERK;HEEMSKERK;NOORD-HOLLAND;EPSG:4326;52,49875;4,67838
871685920003635713;3016107-EL-T01;TCSNL;NVT;2033VL;LOUIS HARTZSTRAAT;29 ELP;HAARLEM;HAARLEM;NOORD-HOLLAND;EPSG:4326;52,37588;4,66531
871687110004065420;6002957-EL-T01;ALLEGOEZ;NVT;6543TH;ROZEMARIJNSTRAAT;2 ELP;NIJMEGEN;NIJMEGEN;GELDERLAND;EPSG:4326;51,83597;5,83393
871685920002878319;3011178-EL-T01;UBITRICITY – GESELLSCHAF;NVT;1851ZW;VIJVERLAAN;74 ELP;HEILOO;HEILOO;NOORD-HOLLAND;EPSG:4326;52,58809;4,71098
871685920003861242;3000233-EL-T01;TOTALENERGIES CHARGING S;NVT;1403HJ;AAGJE DEKENLAAN;98 ELP;GOOISE MEREN;BUSSUM;NOORD-HOLLAND;EPSG:4326;52,26707;5,18986
